professor,Title_URL,rating,numRating,Department,cardschool__schoolsc19lmz2k1,cardfeedback__cardfeedbackitemlq6nix1,cardfeedback__cardfeedbackitemlq6nix13,cardfeedback__cardfeedbackitemlq6nix14,cardfeedback__cardfeedbackitemlq6nix15
William Size,https://www.ratemyprofessors.com/professor/6012,4.9,7 ratings,Geography,Emory University,"100%
would take again",100%,"2.1
level of difficulty",2.1
Scott Stewart,https://www.ratemyprofessors.com/professor/7918,4.9,10 ratings,Music,Emory University,"N/A
would take again",N/A,"2.2
level of difficulty",2.2
Alice Benston,https://www.ratemyprofessors.com/professor/25197,4.3,6 ratings,Fine Arts,Emory University,"N/A
would take again",N/A,"4.5
level of difficulty",4.5
Richard Patterson,https://www.ratemyprofessors.com/professor/55083,3.8,16 ratings,Philosophy,Emory University,"N/A
would take again",N/A,"2.6
level of difficulty",2.6
George Armelagos,https://www.ratemyprofessors.com/professor/55087,3.7,8 ratings,Anthropology,Emory University,"N/A
would take again",N/A,"2.6
level of difficulty",2.6
Daniel Adame,https://www.ratemyprofessors.com/professor/74368,3.3,28 ratings,Physical Ed,Emory University,"N/A
would take again",N/A,"1.4
level of difficulty",1.4
Kenneth Stein,https://www.ratemyprofessors.com/professor/74370,4.4,23 ratings,Political Science,Emory University,"100%
would take again",100%,"3
level of difficulty",3
David Cook,https://www.ratemyprofessors.com/professor/90720,4,8 ratings,Film,Emory University,"N/A
would take again",N/A,"2.1
level of difficulty",2.1
James Roark,https://www.ratemyprofessors.com/professor/111495,5,14 ratings,History,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3
Frasier Harbutt,https://www.ratemyprofessors.com/professor/111498,4.1,14 ratings,History,Emory University,"N/A
would take again",N/A,"2.8
level of difficulty",2.8
John Juricek,https://www.ratemyprofessors.com/professor/111499,3.7,3 ratings,History,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2
Rachel Bowser,https://www.ratemyprofessors.com/professor/116726,4.9,4 ratings,English,Emory University,"N/A
would take again",N/A,"3.3
level of difficulty",3.3
Randall Strahan,https://www.ratemyprofessors.com/professor/135031,5,2 ratings,Political Science,Emory University,"N/A
would take again",N/A,"3.5
level of difficulty",3.5
Karl Hagen,https://www.ratemyprofessors.com/professor/154176,2.1,58 ratings,Chemistry,Emory University,"21%
would take again",21%,"3.3
level of difficulty",3.3
Rick Rambuss,https://www.ratemyprofessors.com/professor/229291,4,12 ratings,English,Emory University,"N/A
would take again",N/A,"4.1
level of difficulty",4.1
Louise Pratt,https://www.ratemyprofessors.com/professor/238704,4.5,17 ratings,Classics,Emory University,"90%
would take again",90%,"2.8
level of difficulty",2.8
Darryl Neill,https://www.ratemyprofessors.com/professor/255302,4,59 ratings,Psychology,Emory University,"75%
would take again",75%,"3.3
level of difficulty",3.3
Donna Troka,https://www.ratemyprofessors.com/professor/257372,4.6,6 ratings,English,Emory University,"N/A
would take again",N/A,"2.2
level of difficulty",2.2
John Witte,https://www.ratemyprofessors.com/professor/272407,4.1,6 ratings,Law,Emory University,"0%
would take again",0%,"3
level of difficulty",3
Frank Alexander,https://www.ratemyprofessors.com/professor/272408,4.4,6 ratings,Law,Emory University,"100%
would take again",100%,"3.8
level of difficulty",3.8
Merle Black,https://www.ratemyprofessors.com/professor/272419,4.5,13 ratings,Political Science,Emory University,"100%
would take again",100%,"3.8
level of difficulty",3.8
Ben Hary,https://www.ratemyprofessors.com/professor/272424,4.4,17 ratings,Languages,Emory University,"100%
would take again",100%,"2.4
level of difficulty",2.4
Stefan Lutz,https://www.ratemyprofessors.com/professor/295177,3.9,24 ratings,Chemistry,Emory University,"50%
would take again",50%,"4
level of difficulty",4
Sheila Tefft,https://www.ratemyprofessors.com/professor/300159,3.2,12 ratings,Journalism,Emory University,"29%
would take again",29%,"3.5
level of difficulty",3.5
Justin Gallivan,https://www.ratemyprofessors.com/professor/321789,3.4,22 ratings,Chemistry,Emory University,"N/A
would take again",N/A,"3.7
level of difficulty",3.7
Oded Borowski,https://www.ratemyprofessors.com/professor/416137,2.5,11 ratings,International Studies,Emory University,"N/A
would take again",N/A,"4.5
level of difficulty",4.5
David Bell,https://www.ratemyprofessors.com/professor/427363,4.2,3 ratings,Religion,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3
