id,course_code_char,course_code_num,course_name,days,start_time,end_time,professor,professor_rate,professor_lev_diff,sql_text
1,AAS,100,Intro To African American Studies,MWF,13:00:00,14:15:00,M. Gordon,3,2.4,"('AAS',100,'Intro To African American Studies','MWF','13:00:00','14:15:00','M. Gordon',3.0,2.4),"
2,AAS,190,Fresh Sem: Africn Amer Studies: Sex/Gender in Afr. Diaspora,TTh,14:30:00,15:45:00,A. Chapman,3,2.4,"('AAS',190,'Fresh Sem: Africn Amer Studies: Sex/Gender in Afr. Diaspora','TTh','14:30:00','15:45:00','A. Chapman',3.0,2.4),"
3,AAS,190,Fresh Sem: Africn Amer Studies: Sounds of Protest & Change:,TTh,16:00:00,17:15:00,M. Yates-Richard,3,2.4,"('AAS',190,'Fresh Sem: Africn Amer Studies: Sounds of Protest & Change:','TTh','16:00:00','17:15:00','M. Yates-Richard',3.0,2.4),"
4,AAS,190,Fresh Sem: Africn Amer Studies: Writing Bodies in the World,W,13:00:00,15:45:00,T. Yanique,5,4,"('AAS',190,'Fresh Sem: Africn Amer Studies: Writing Bodies in the World','W','13:00:00','15:45:00','T. Yanique',5.0,4.0),"
5,AAS,215,Jazz: Its Evolution & Essence,TTh,11:30:00,12:45:00,D. Andrews,3.6,2.8,"('AAS',215,'Jazz: Its Evolution & Essence','TTh','11:30:00','12:45:00','D. Andrews',3.6,2.8),"
6,AAS,240,Methods in Black Studies,MW,11:30:00,12:45:00,J. Easley,3,2.4,"('AAS',240,'Methods in Black Studies','MW','11:30:00','12:45:00','J. Easley',3.0,2.4),"
7,AAS,247,Racial & Ethnic Relations,MW,10:00:00,11:15:00,J. Easley,3,2.4,"('AAS',247,'Racial & Ethnic Relations','MW','10:00:00','11:15:00','J. Easley',3.0,2.4),"
8,AAS,259,"Race, Place, and Political Economy",TTh,8:30:00,9:45:00,J. Stewart,3,2.4,"('AAS',259,'Race, Place, and Political Economy','TTh','08:30:00','09:45:00','J. Stewart',3.0,2.4),"
9,AAS,261,Survey of African-American Literature Before 1900,TTh,8:30:00,9:45:00,V. Babb,5,4,"('AAS',261,'Survey of African-American Literature Before 1900','TTh','08:30:00','09:45:00','V. Babb',5.0,4.0),"
10,AAS,267,The Civil Rights Movement,MW,11:30:00,12:45:00,C. Anderson,3,2.4,"('AAS',267,'The Civil Rights Movement','MW','11:30:00','12:45:00','C. Anderson',3.0,2.4),"
11,AAS,285,Special Topics in African American Studies: Intro.to Anglophone Caribbean,TTh,10:00:00,11:15:00,M. Yates-Richard,3,2.4,"('AAS',285,'Special Topics in African American Studies: Intro.to Anglophone Caribbean','TTh','10:00:00','11:15:00','M. Yates-Richard',3.0,2.4),"
12,AAS,303,Black Music,TTh,16:00:00,17:15:00,A. Chapman,3,2.4,"('AAS',303,'Black Music','TTh','16:00:00','17:15:00','A. Chapman',3.0,2.4),"
13,AAS,346,African American Politics,MW,17:30:00,18:45:00,A. Gillespie,3,3.8,"('AAS',346,'African American Politics','MW','17:30:00','18:45:00','A. Gillespie',3.0,3.8),"
14,AAS,350,African American Pedagogy,TTh,10:00:00,11:15:00,C. Sanders,3,2.4,"('AAS',350,'African American Pedagogy','TTh','10:00:00','11:15:00','C. Sanders',3.0,2.4),"
15,AAS,355,Historical Arts of Africa,TTh,11:30:00,12:45:00,K. Daniels,3,2.4,"('AAS',355,'Historical Arts of Africa','TTh','11:30:00','12:45:00','K. Daniels',3.0,2.4),"
16,AAS,359,Studies in African American Literature: 1900 to Present: AfAm.Literature & Pop. Culture,TTh,13:00:00,14:15:00,V. Babb,5,4,"('AAS',359,'Studies in African American Literature: 1900 to Present: AfAm.Literature & Pop. Culture','TTh','13:00:00','14:15:00','V. Babb',5.0,4.0),"
17,AAS,375,Topics in Black Women's Studies: Black Motherhood,MW,10:00:00,11:15:00,K. Wallace-Sanders,3,2.4,"('AAS',375,'Topics in Black Women's Studies: Black Motherhood','MW','10:00:00','11:15:00','K. Wallace-Sanders',3.0,2.4),"
