,Class Prefix,Class Number,Class title,Class day,start_time,finish_time,Class instructor,Class location
2,HNDI,101-1,Elementary Hindi I,TuTh,1:00pm,2:15pm,Prema Gandhi,Online/Callaway Center S101
3,HNDI,101-2,Elementary Hindi I,TuThF,1:00pm,2:15pm,Brajesh Samarth,Online/New Psyc Bldg 235 (36 Eagle Ro
4,HNDI,201-1,Intermediate Hindi I,TuTh,2:30pm,3:20pm,Brajesh Samarth,New Psyc Bldg 235 (36 Eagle Ro
6,PSYC,110-1,Intro Psyc IPsychobio  Cognition,MW,10:00am,11:15am,Not Listed,White Hall 206
7,PSYC,110-2,Intro Psyc IPsychobio  Cognition,MW,10:00am,10:50am,David Edwards,New Psyc Bldg 290 (36 Eagle Ro
8,PSYC,110-3,Intro Psyc IPsychobio  Cognition,TuTh,2:30pm,3:45pm,Paul Moon,New Psyc Bldg 290 (36 Eagle Ro
9,PSYC,110-4,Intro Psyc IPsychobio  Cognition,TuTh,11:30am,12:45pm,Aubrey Kelly,New Psyc Bldg 290 (36 Eagle Ro
10,PSYC,111-2,Intro To Psyc II,MW,8:30am,9:45am,Ebony Respress,New Psyc Bldg 290 (36 Eagle Ro
11,PSYC,111-3,Intro To Psyc II,TuTh,1:00pm,2:15pm,Arber Tasimi,Anthropology Building 303
12,PSYC,180-1,Research in College Drug Use,MW,11:30am,12:45pm,Rohan Palmer,New Psyc Bldg 361 (36 Eagle Ro
13,PSYC,190-1,Fresh Sem Psychology,W,2:30pm,5:15pm,Stephan Hamann,New Psyc Bldg 493 (36 Eagle Ro
14,PSYC,190-2,Fresh Sem Psychology,Tu,1:00pm,3:45pm,Lynne Nygaard,New Psyc Bldg 393 (36 Eagle Ro
15,PSYC,190-3,Fresh Sem Psychology,W,10:00am,12:30pm,Philippe Rochat,New Psyc Bldg 493 (36 Eagle Ro
16,PSYC,200W-LAB1,Lab In Experimental Methods,W,2:30pm,3:45pm,Elizabeth Kim,New Psyc Bldg 393 (36 Eagle Ro
17,PSYC,200W-LAB2,Lab In Experimental Methods,W,4:00pm,5:15pm,Elizabeth Kim,New Psyc Bldg 393 (36 Eagle Ro
18,PSYC,200W-LAB3,Lab In Experimental Methods,W,5:30pm,6:45pm,Elizabeth Kim,New Psyc Bldg 393 (36 Eagle Ro
19,PSYC,200W-LAB4,Lab In Experimental Methods,W,7:00pm,8:15pm,Elizabeth Kim,New Psyc Bldg 393 (36 Eagle Ro
20,PSYC,200W-LAB5,Lab In Experimental Methods,Th,2:30pm,3:45pm,Elizabeth Kim,New Psyc Bldg 393 (36 Eagle Ro
21,PSYC,200W-LAB6,Lab In Experimental Methods,Th,4:00pm,5:15pm,Elizabeth Kim,New Psyc Bldg 393 (36 Eagle Ro
22,PSYC,200W-LAB7,Lab In Experimental Methods,Th,5:30pm,6:45pm,Elizabeth Kim,New Psyc Bldg 393 (36 Eagle Ro
23,PSYC,200W-1,Lab In Experimental Methods,MW,11:30am,12:45pm,Elizabeth Kim,New Psyc Bldg 290 (36 Eagle Ro
24,PSYC,205-1,Child Development,MW,8:30am,9:45am,Elizabeth Kim,New Psyc Bldg 230 (36 Eagle Ro
25,PSYC,207-1,Brain  Behavior,TuTh,1:00pm,2:15pm,Ali Cohen,White Hall 205
26,PSYC,209-1,Perception and Action,TuTh,2:30pm,3:45pm,Paul Moon,White Hall 110
27,PSYC,210-1,Adult Psychopathology,TuTh,1:00pm,2:15pm,Elaine Walker,New Psyc Bldg 290 (36 Eagle Ro
28,PSYC,211-1,Childhood Psychopathology,MW,11:30am,12:45pm,Elaine Johnson,Registrar Room Pool Requested
29,PSYC,212-1,Social Psychology,MW,10:00am,11:15am,Jessica Barber,New Psyc Bldg 230 (36 Eagle Ro
30,PSYC,215-1,Cognition,MW,2:30pm,3:45pm,Philip Kragel,White Hall 101
31,PSYC,302-1,Human Learning  Memory,TuTh,1:00pm,2:15pm,Stephan Hamann,New Psyc Bldg 230 (36 Eagle Ro
32,PSYC,309-1,Brain and Language,TuTh,2:30pm,3:45pm,Brianna Yamasaki,Anthropology Building 303
33,PSYC,310-1,Cognitive Development,TuTh,2:30pm,3:45pm,Stella Lourenco,New Psyc Bldg 230 (36 Eagle Ro
34,PSYC,317-1,Psycholinguistics,MW,1:00pm,2:15pm,Yun Kim,Candler Library 114
35,PSYC,320-1,Animal Behavior,TuTh,2:30pm,3:45pm,Harold Gouzoules,New Psyc Bldg 290 (36 Eagle Ro
36,PSYC,324-1,Sleep  Dreaming Brain  Mind,MW,11:30am,12:45pm,Hillary Rodman,New Psyc Bldg 230 (36 Eagle Ro
37,PSYC,325-1,Primate Social Psychology,TuTh,10:00am,11:15am,Ben Wilson,New Psyc Bldg 290 (36 Eagle Ro
38,PSYC,353-1,Behavioral Neuroscience,MW,2:30pm,3:45pm,Alex Grizzell,1462 Clifton Rd 230
39,PSYC,381-1,NeuroeconomicsDecisionMaking,MW,1:00pm,2:15pm,Gregory Berns,New Psyc Bldg 230 (36 Eagle Ro
40,PSYC,385-2,Special Topics in Psychology,TuTh,10:00am,11:15am,Jessica Barber,New Psyc Bldg 220 (36 Eagle Ro
41,PSYC,385-3,Special Topics in Psychology,TuTh,11:30am,12:45pm,Dongning Ren,White Hall 111
42,PSYC,385-4,Special Topics in Psychology,TuTh,8:30am,9:45am,Ebony Respress,New Psyc Bldg 230 (36 Eagle Ro
43,PSYC,385-5,Special Topics in Psychology,TuTh,1:00pm,2:15pm,Sara Botto,New Psyc Bldg 220 (36 Eagle Ro
44,PSYC,430-1,Advanced Statistics and Research Methods,MW,10:00am,11:15am,Yuk Cheong,New Psyc Bldg 361 (36 Eagle Ro
45,PSYC,474R-1,Sem Developmental Psychology,TuTh,10:00am,11:15am,Sara Botto,New Psyc Bldg 393 (36 Eagle Ro
46,PSYC,495A-1,Honors Program,W,1:00pm,3:45pm,Patricia Bauer,New Psyc Bldg 280 (36 Eagle Ro
89,PSYC,542-1,Research Methods in Clinical Psychology,M,10:00am,12:30pm,Patricia Brennan,New Psyc Bldg 493 (36 Eagle Ro
90,PSYC,544-1,Developmental Theory  Methods,W,4:00pm,6:45pm,Philippe Rochat,New Psyc Bldg 280 (36 Eagle Ro
91,PSYC,548-1,Assessment IPsychometrics,TuTh,10:00am,11:15am,Ann Abramowitz,New Psyc Bldg 225 (36 Eagle Ro
92,PSYC,562-1,Statistics I Design  Analysis,TuTh,1:00pm,2:15pm,Phillip Wolff,New Psyc Bldg 361 (36 Eagle Ro
121,PSYC,770R-3,Topic Seminars Psych,M,10:00am,12:30pm,Irwin Waldman,New Psyc Bldg 494 (36 Eagle Ro
122,PSYC,777R-1,Research Seminar A,Th,4:00pm,5:30pm,Arber Tasimi,New Psyc Bldg 280 (36 Eagle Ro
123,PSYC,778R-1,Research Seminar B,Tu,4:00pm,5:30pm,Michael Treadway,New Psyc Bldg 280 (36 Eagle Ro
161,PSYC,110-2,Introduction to Psychobiology  Cognition,TuTh,11:30am,12:45pm,Sharon Lewis,Seney Hall 322 Oxford
162,PSYC,110-3,Introduction to Psychobiology  Cognition,TuTh,10:00am,11:15am,Sharon Lewis,Seney Hall 322 Oxford
163,PSYC,111-1,Introduction to Psychology II Development Social Behavior and Individual Differences,TuTh,11:30am,12:45pm,Leyla Eghbalzad,Pierce Hall 237
164,PSYC,111-2,Introduction to Psychology II Development Social Behavior and Individual Differences,TuTh,4:00pm,5:15pm,Leyla Eghbalzad,Pierce Hall 237
165,PSYC,205-1,Child Development,TuTh,1:00pm,2:15pm,Leyla Eghbalzad,Pierce Hall 237
166,PSYC,223Q-1,Drugs and Behavior,MW,2:30pm,3:45pm,Jennifer McGee,LIBR_230_Classroom
167,PSYC,223Q-2,Drugs and Behavior,MW,10:00am,11:15am,Jennifer McGee,LIBR_230_Classroom
168,PSYC,385R-1,Special Topics In Psychology,TuTh,2:30pm,3:45pm,Scott Garner,Oxford Science Building 415
169,PSYC,385R-2,Special Topics In Psychology,TuTh,4:00pm,5:15pm,Scott Garner,Oxford Science Building 415
170,IDS,190-1,Fresh Sem IDS,TuTh,1:00pm,2:15pm,Kim Loudermilk,Callaway Center S420
171,IDS,200W-1,Interdisciplinary Foundations,MW,8:30am,9:45am,Peter Wakefield,Callaway Center S420
172,IDS,205W-1,Science  the Nature of Evidence,MW,10:00am,11:15am,Arri Eisen,Callaway Center S420
173,IDS,216W-1,Visual Culture,TuTh,10:00am,11:15am,Rose DeightonMohammed,Callaway Center S420
174,IDS,285W-1,IntroInterdisciplinary Topics,TuTh,2:30pm,3:45pm,Juliette Apkarian,MODERN LANGUAGE_330
175,IDS,385-1,Special Topics,MW,1:00pm,2:15pm,Mark Risjord,Callaway Center S420
176,IDS,385W-1,Special Topics,MW,11:30am,12:45pm,Peter Wakefield,Callaway Center S420
177,IDS,385-2,Special Topics,TuTh,2:30pm,3:45pm,Cynthia Blakeley,Callaway Center S420
178,IDS,385-3,Special Topics,TuTh,1:00pm,2:15pm,Kelsey Bohlke,Rich Building 211
180,IDS,491W-1,Senior Seminar,TuTh,4:00pm,5:15pm,Kim Loudermilk,Callaway Center S420
182,SPAN,101-1,Elementary Spanish I,MW,8:30am,9:20am,Jennifer Feldman,Callaway Center S103
183,SPAN,101-2,Elementary Spanish I,MW,10:00am,10:50am,Jennifer Feldman,Callaway Center S103
