,Class Prefix,Class Number,Class title,Class day,start_time,finish_time,Class instructor
2,HNDI,101-1,Elementary Hindi I,TuTh,13:00:00,14:15:00,Prema Gandhi
3,HNDI,101-2,Elementary Hindi I,TuThF,13:00:00,14:15:00,Brajesh Samarth
4,HNDI,201-1,Intermediate Hindi I,TuTh,14:30:00,15:20:00,Brajesh Samarth
6,PSYC,110-1,Intro Psyc IPsychobio  Cognition,MW,10:00:00,11:15:00,Not Listed
7,PSYC,110-2,Intro Psyc IPsychobio  Cognition,MW,10:00:00,10:50:00,David Edwards
8,PSYC,110-3,Intro Psyc IPsychobio  Cognition,TuTh,14:30:00,15:45:00,Paul Moon
9,PSYC,110-4,Intro Psyc IPsychobio  Cognition,TuTh,11:30:00,12:45:00,Aubrey Kelly
10,PSYC,111-2,Intro To Psyc II,MW,8:30:00,9:45:00,Ebony Respress
11,PSYC,111-3,Intro To Psyc II,TuTh,13:00:00,14:15:00,Arber Tasimi
12,PSYC,180-1,Research in College Drug Use,MW,11:30:00,12:45:00,Rohan Palmer
13,PSYC,190-1,Fresh Sem Psychology,W,14:30:00,17:15:00,Stephan Hamann
14,PSYC,190-2,Fresh Sem Psychology,Tu,13:00:00,15:45:00,Lynne Nygaard
15,PSYC,190-3,Fresh Sem Psychology,W,10:00:00,12:30:00,Philippe Rochat
16,PSYC,200W-LAB1,Lab In Experimental Methods,W,14:30:00,15:45:00,Elizabeth Kim
17,PSYC,200W-LAB2,Lab In Experimental Methods,W,16:00:00,17:15:00,Elizabeth Kim
18,PSYC,200W-LAB3,Lab In Experimental Methods,W,17:30:00,18:45:00,Elizabeth Kim
19,PSYC,200W-LAB4,Lab In Experimental Methods,W,19:00:00,20:15:00,Elizabeth Kim
20,PSYC,200W-LAB5,Lab In Experimental Methods,Th,14:30:00,15:45:00,Elizabeth Kim
21,PSYC,200W-LAB6,Lab In Experimental Methods,Th,16:00:00,17:15:00,Elizabeth Kim
22,PSYC,200W-LAB7,Lab In Experimental Methods,Th,17:30:00,18:45:00,Elizabeth Kim
23,PSYC,200W-1,Lab In Experimental Methods,MW,11:30:00,12:45:00,Elizabeth Kim
24,PSYC,205-1,Child Development,MW,8:30:00,9:45:00,Elizabeth Kim
25,PSYC,207-1,Brain  Behavior,TuTh,13:00:00,14:15:00,Ali Cohen
26,PSYC,209-1,Perception and Action,TuTh,14:30:00,15:45:00,Paul Moon
27,PSYC,210-1,Adult Psychopathology,TuTh,13:00:00,14:15:00,Elaine Walker
28,PSYC,211-1,Childhood Psychopathology,MW,11:30:00,12:45:00,Elaine Johnson
29,PSYC,212-1,Social Psychology,MW,10:00:00,11:15:00,Jessica Barber
30,PSYC,215-1,Cognition,MW,14:30:00,15:45:00,Philip Kragel
31,PSYC,302-1,Human Learning  Memory,TuTh,13:00:00,14:15:00,Stephan Hamann
32,PSYC,309-1,Brain and Language,TuTh,14:30:00,15:45:00,Brianna Yamasaki
33,PSYC,310-1,Cognitive Development,TuTh,14:30:00,15:45:00,Stella Lourenco
34,PSYC,317-1,Psycholinguistics,MW,13:00:00,14:15:00,Yun Kim
35,PSYC,320-1,Animal Behavior,TuTh,14:30:00,15:45:00,Harold Gouzoules
36,PSYC,324-1,Sleep  Dreaming Brain  Mind,MW,11:30:00,12:45:00,Hillary Rodman
37,PSYC,325-1,Primate Social Psychology,TuTh,10:00:00,11:15:00,Ben Wilson
38,PSYC,353-1,Behavioral Neuroscience,MW,14:30:00,15:45:00,Alex Grizzell
39,PSYC,381-1,NeuroeconomicsDecisionMaking,MW,13:00:00,14:15:00,Gregory Berns
40,PSYC,385-2,Special Topics in Psychology,TuTh,10:00:00,11:15:00,Jessica Barber
41,PSYC,385-3,Special Topics in Psychology,TuTh,11:30:00,12:45:00,Dongning Ren
42,PSYC,385-4,Special Topics in Psychology,TuTh,8:30:00,9:45:00,Ebony Respress
43,PSYC,385-5,Special Topics in Psychology,TuTh,13:00:00,14:15:00,Sara Botto
44,PSYC,430-1,Advanced Statistics and Research Methods,MW,10:00:00,11:15:00,Yuk Cheong
45,PSYC,474R-1,Sem Developmental Psychology,TuTh,10:00:00,11:15:00,Sara Botto
46,PSYC,495A-1,Honors Program,W,13:00:00,15:45:00,Patricia Bauer
89,PSYC,542-1,Research Methods in Clinical Psychology,M,10:00:00,12:30:00,Patricia Brennan
90,PSYC,544-1,Developmental Theory  Methods,W,16:00:00,18:45:00,Philippe Rochat
91,PSYC,548-1,Assessment IPsychometrics,TuTh,10:00:00,11:15:00,Ann Abramowitz
92,PSYC,562-1,Statistics I Design  Analysis,TuTh,13:00:00,14:15:00,Phillip Wolff
121,PSYC,770R-3,Topic Seminars Psych,M,10:00:00,12:30:00,Irwin Waldman
122,PSYC,777R-1,Research Seminar A,Th,16:00:00,17:30:00,Arber Tasimi
123,PSYC,778R-1,Research Seminar B,Tu,16:00:00,17:30:00,Michael Treadway
161,PSYC,110-2,Introduction to Psychobiology  Cognition,TuTh,11:30:00,12:45:00,Sharon Lewis
162,PSYC,110-3,Introduction to Psychobiology  Cognition,TuTh,10:00:00,11:15:00,Sharon Lewis
163,PSYC,111-1,Introduction to Psychology II Development Social Behavior and Individual Differences,TuTh,11:30:00,12:45:00,Leyla Eghbalzad
164,PSYC,111-2,Introduction to Psychology II Development Social Behavior and Individual Differences,TuTh,16:00:00,17:15:00,Leyla Eghbalzad
165,PSYC,205-1,Child Development,TuTh,13:00:00,14:15:00,Leyla Eghbalzad
166,PSYC,223Q-1,Drugs and Behavior,MW,14:30:00,15:45:00,Jennifer McGee
167,PSYC,223Q-2,Drugs and Behavior,MW,10:00:00,11:15:00,Jennifer McGee
168,PSYC,385R-1,Special Topics In Psychology,TuTh,14:30:00,15:45:00,Scott Garner
169,PSYC,385R-2,Special Topics In Psychology,TuTh,16:00:00,17:15:00,Scott Garner
170,IDS,190-1,Fresh Sem IDS,TuTh,13:00:00,14:15:00,Kim Loudermilk
171,IDS,200W-1,Interdisciplinary Foundations,MW,8:30:00,9:45:00,Peter Wakefield
172,IDS,205W-1,Science  the Nature of Evidence,MW,10:00:00,11:15:00,Arri Eisen
173,IDS,216W-1,Visual Culture,TuTh,10:00:00,11:15:00,Rose DeightonMohammed
174,IDS,285W-1,IntroInterdisciplinary Topics,TuTh,14:30:00,15:45:00,Juliette Apkarian
175,IDS,385-1,Special Topics,MW,13:00:00,14:15:00,Mark Risjord
176,IDS,385W-1,Special Topics,MW,11:30:00,12:45:00,Peter Wakefield
177,IDS,385-2,Special Topics,TuTh,14:30:00,15:45:00,Cynthia Blakeley
178,IDS,385-3,Special Topics,TuTh,13:00:00,14:15:00,Kelsey Bohlke
180,IDS,491W-1,Senior Seminar,TuTh,16:00:00,17:15:00,Kim Loudermilk
182,SPAN,101-1,Elementary Spanish I,MW,8:30:00,9:20:00,Jennifer Feldman
183,SPAN,101-2,Elementary Spanish I,MW,10:00:00,10:50:00,Jennifer Feldman
184,SPAN,101-3,Elementary Spanish I,TuTh,10:00:00,10:50:00,Laura Mejia
185,SPAN,101-4,Elementary Spanish I,TuTh,11:30:00,12:20:00,Willie Hurst
186,SPAN,201-1,Intermediate Spanish I,MW,8:30:00,9:45:00,Cesar Sierra
187,SPAN,201-2,Intermediate Spanish I,MW,10:00:00,11:15:00,Cesar Sierra
188,SPAN,201-3,Intermediate Spanish I,MW,11:30:00,12:45:00,Not Listed
189,SPAN,201-4,Intermediate Spanish I,MW,13:00:00,14:15:00,Not Listed
190,SPAN,201-5,Intermediate Spanish I,MW,14:30:00,15:45:00,Not Listed
191,SPAN,201-6,Intermediate Spanish I,MW,16:00:00,17:15:00,Not Listed
192,SPAN,201-7,Intermediate Spanish I,TuTh,8:30:00,9:45:00,Lisa Dillman
193,SPAN,201-8,Intermediate Spanish I,TuTh,10:00:00,11:15:00,Lisa Dillman
194,SPAN,212-1,Intro to Hisp Texts  Contexts,MW,10:00:00,11:15:00,Maria Gonzalez
195,SPAN,212-2,Intro to Hisp Texts  Contexts,MW,11:30:00,12:45:00,Maria Gonzalez
196,SPAN,212-3,Intro to Hisp Texts  Contexts,MW,16:00:00,17:15:00,Not Listed
197,SPAN,212-4,Intro to Hisp Texts  Contexts,TuTh,10:00:00,11:15:00,Jose Londono
198,SPAN,212-5,Intro to Hisp Texts  Contexts,TuTh,11:30:00,12:45:00,Katherine Ostrom
199,SPAN,212-6,Intro to Hisp Texts  Contexts,TuTh,13:00:00,14:15:00,Not Listed
200,SPAN,212-7,Intro to Hisp Texts  Contexts,TuTh,14:30:00,15:45:00,Not Listed
201,SPAN,212-8,Intro to Hisp Texts  Contexts,TuTh,16:00:00,17:15:00,Robyn Clarke
202,SPAN,285-1,Topics Hispanic Studies,M,17:30:00,18:20:00,Katherine Ostrom
203,SPAN,285-2,Topics Hispanic Studies,W,14:00:00,14:50:00,Maria Gonzalez
204,SPAN,301W-1,Early Hispanic Texts  Contexts,MW,11:30:00,12:45:00,Cesar Sierra
205,SPAN,302W-1,Modern Hispanic Texts  Contexts,TuTh,10:00:00,11:15:00,Hernan Feldman
206,SPAN,302W-2,Modern Hispanic Texts  Contexts,TuTh,11:30:00,12:45:00,Hernan Feldman
207,SPAN,303-1,Phonetics The Sounds of Spanish,MW,11:30:00,12:45:00,Donald Tuten
