,course_code_char,course_code_num,course_name,days,start_time,end_time,professor,professor_rate,professor_lev_diff,sql_text
0,HNDI,101\-1,Elementary Hindi I,TuTh,13:00:00,14:15:00,Prema Gandhi,3.7,4,"('HNDI','101\-1','Elementary Hindi I','TuTh','13:00:00','14:15:00','Prema Gandhi',3.7,4.0),"
1,HNDI,101\-2,Elementary Hindi I,TuThF,13:00:00,14:15:00,Brajesh Samarth,3.5,2.5,"('HNDI','101\-2','Elementary Hindi I','TuThF','13:00:00','14:15:00','Brajesh Samarth',3.5,2.5),"
2,HNDI,201\-1,Intermediate Hindi I,TuTh,14:30:00,15:20:00,Brajesh Samarth,3.5,2.5,"('HNDI','201\-1','Intermediate Hindi I','TuTh','14:30:00','15:20:00','Brajesh Samarth',3.5,2.5),"
3,PSYC,110\-1,Intro Psyc IPsychobio  Cognition,MW,10:00:00,11:15:00,Not Listed,3.5,2.5,"('PSYC','110\-1','Intro Psyc IPsychobio  Cognition','MW','10:00:00','11:15:00','Not Listed',3.5,2.5),"
4,PSYC,110\-2,Intro Psyc IPsychobio  Cognition,MW,10:00:00,10:50:00,David Edwards,3.5,2.5,"('PSYC','110\-2','Intro Psyc IPsychobio  Cognition','MW','10:00:00','10:50:00','David Edwards',3.5,2.5),"
5,PSYC,110\-3,Intro Psyc IPsychobio  Cognition,TuTh,14:30:00,15:45:00,Paul Moon,4.4,2.7,"('PSYC','110\-3','Intro Psyc IPsychobio  Cognition','TuTh','14:30:00','15:45:00','Paul Moon',4.4,2.7),"
6,PSYC,110\-4,Intro Psyc IPsychobio  Cognition,TuTh,11:30:00,12:45:00,Aubrey Kelly,3.5,2.5,"('PSYC','110\-4','Intro Psyc IPsychobio  Cognition','TuTh','11:30:00','12:45:00','Aubrey Kelly',3.5,2.5),"
7,PSYC,111\-2,Intro To Psyc II,MW,8:30:00,9:45:00,Ebony Respress,3.5,2.5,"('PSYC','111\-2','Intro To Psyc II','MW','08:30:00','09:45:00','Ebony Respress',3.5,2.5),"
8,PSYC,111\-3,Intro To Psyc II,TuTh,13:00:00,14:15:00,Arber Tasimi,5,2.5,"('PSYC','111\-3','Intro To Psyc II','TuTh','13:00:00','14:15:00','Arber Tasimi',5.0,2.5),"
9,PSYC,180\-1,Research in College Drug Use,MW,11:30:00,12:45:00,Rohan Palmer,2.6,4.2,"('PSYC','180\-1','Research in College Drug Use','MW','11:30:00','12:45:00','Rohan Palmer',2.6,4.2),"
10,PSYC,190\-1,Fresh Sem Psychology,W,14:30:00,17:15:00,Stephan Hamann,3.5,2.5,"('PSYC','190\-1','Fresh Sem Psychology','W','14:30:00','17:15:00','Stephan Hamann',3.5,2.5),"
11,PSYC,190\-2,Fresh Sem Psychology,Tu,13:00:00,15:45:00,Lynne Nygaard,3,3.7,"('PSYC','190\-2','Fresh Sem Psychology','Tu','13:00:00','15:45:00','Lynne Nygaard',3.0,3.7),"
12,PSYC,190\-3,Fresh Sem Psychology,W,10:00:00,12:30:00,Philippe Rochat,4.2,3.7,"('PSYC','190\-3','Fresh Sem Psychology','W','10:00:00','12:30:00','Philippe Rochat',4.2,3.7),"
13,PSYC,200W\-LAB1,Lab In Experimental Methods,W,14:30:00,15:45:00,Elizabeth Kim,3.5,2.5,"('PSYC','200W\-LAB1','Lab In Experimental Methods','W','14:30:00','15:45:00','Elizabeth Kim',3.5,2.5),"
14,PSYC,200W\-LAB2,Lab In Experimental Methods,W,16:00:00,17:15:00,Elizabeth Kim,3.5,2.5,"('PSYC','200W\-LAB2','Lab In Experimental Methods','W','16:00:00','17:15:00','Elizabeth Kim',3.5,2.5),"
15,PSYC,200W\-LAB3,Lab In Experimental Methods,W,17:30:00,18:45:00,Elizabeth Kim,3.5,2.5,"('PSYC','200W\-LAB3','Lab In Experimental Methods','W','17:30:00','18:45:00','Elizabeth Kim',3.5,2.5),"
16,PSYC,200W\-LAB4,Lab In Experimental Methods,W,19:00:00,20:15:00,Elizabeth Kim,3.5,2.5,"('PSYC','200W\-LAB4','Lab In Experimental Methods','W','19:00:00','20:15:00','Elizabeth Kim',3.5,2.5),"
17,PSYC,200W\-LAB5,Lab In Experimental Methods,Th,14:30:00,15:45:00,Elizabeth Kim,3.5,2.5,"('PSYC','200W\-LAB5','Lab In Experimental Methods','Th','14:30:00','15:45:00','Elizabeth Kim',3.5,2.5),"
18,PSYC,200W\-LAB6,Lab In Experimental Methods,Th,16:00:00,17:15:00,Elizabeth Kim,3.5,2.5,"('PSYC','200W\-LAB6','Lab In Experimental Methods','Th','16:00:00','17:15:00','Elizabeth Kim',3.5,2.5),"
19,PSYC,200W\-LAB7,Lab In Experimental Methods,Th,17:30:00,18:45:00,Elizabeth Kim,3.5,2.5,"('PSYC','200W\-LAB7','Lab In Experimental Methods','Th','17:30:00','18:45:00','Elizabeth Kim',3.5,2.5),"
20,PSYC,200W\-1,Lab In Experimental Methods,MW,11:30:00,12:45:00,Elizabeth Kim,3.5,2.5,"('PSYC','200W\-1','Lab In Experimental Methods','MW','11:30:00','12:45:00','Elizabeth Kim',3.5,2.5),"
21,PSYC,205\-1,Child Development,MW,8:30:00,9:45:00,Elizabeth Kim,3.5,2.5,"('PSYC','205\-1','Child Development','MW','08:30:00','09:45:00','Elizabeth Kim',3.5,2.5),"
22,PSYC,207\-1,Brain  Behavior,TuTh,13:00:00,14:15:00,Ali Cohen,1,5,"('PSYC','207\-1','Brain  Behavior','TuTh','13:00:00','14:15:00','Ali Cohen',1.0,5.0),"
23,PSYC,209\-1,Perception and Action,TuTh,14:30:00,15:45:00,Paul Moon,4.4,2.7,"('PSYC','209\-1','Perception and Action','TuTh','14:30:00','15:45:00','Paul Moon',4.4,2.7),"
24,PSYC,210\-1,Adult Psychopathology,TuTh,13:00:00,14:15:00,Elaine Walker,2.9,3.2,"('PSYC','210\-1','Adult Psychopathology','TuTh','13:00:00','14:15:00','Elaine Walker',2.9,3.2),"
25,PSYC,211\-1,Childhood Psychopathology,MW,11:30:00,12:45:00,Elaine Johnson,3.5,2.5,"('PSYC','211\-1','Childhood Psychopathology','MW','11:30:00','12:45:00','Elaine Johnson',3.5,2.5),"
26,PSYC,212\-1,Social Psychology,MW,10:00:00,11:15:00,Jessica Barber,3.5,2.5,"('PSYC','212\-1','Social Psychology','MW','10:00:00','11:15:00','Jessica Barber',3.5,2.5),"
27,PSYC,215\-1,Cognition,MW,14:30:00,15:45:00,Philip Kragel,3.7,3.2,"('PSYC','215\-1','Cognition','MW','14:30:00','15:45:00','Philip Kragel',3.7,3.2),"
28,PSYC,302\-1,Human Learning  Memory,TuTh,13:00:00,14:15:00,Stephan Hamann,3.5,2.5,"('PSYC','302\-1','Human Learning  Memory','TuTh','13:00:00','14:15:00','Stephan Hamann',3.5,2.5),"
29,PSYC,309\-1,Brain and Language,TuTh,14:30:00,15:45:00,Brianna Yamasaki,3,5,"('PSYC','309\-1','Brain and Language','TuTh','14:30:00','15:45:00','Brianna Yamasaki',3.0,5.0),"
30,PSYC,310\-1,Cognitive Development,TuTh,14:30:00,15:45:00,Stella Lourenco,3.5,2.5,"('PSYC','310\-1','Cognitive Development','TuTh','14:30:00','15:45:00','Stella Lourenco',3.5,2.5),"
31,PSYC,317\-1,Psycholinguistics,MW,13:00:00,14:15:00,Yun Kim,3.5,3.2,"('PSYC','317\-1','Psycholinguistics','MW','13:00:00','14:15:00','Yun Kim',3.5,3.2),"
32,PSYC,320\-1,Animal Behavior,TuTh,14:30:00,15:45:00,Harold Gouzoules,3.1,3.2,"('PSYC','320\-1','Animal Behavior','TuTh','14:30:00','15:45:00','Harold Gouzoules',3.1,3.2),"
33,PSYC,324\-1,Sleep  Dreaming Brain  Mind,MW,11:30:00,12:45:00,Hillary Rodman,3.6,3.4,"('PSYC','324\-1','Sleep  Dreaming Brain  Mind','MW','11:30:00','12:45:00','Hillary Rodman',3.6,3.4),"
34,PSYC,325\-1,Primate Social Psychology,TuTh,10:00:00,11:15:00,Ben Wilson,5,2,"('PSYC','325\-1','Primate Social Psychology','TuTh','10:00:00','11:15:00','Ben Wilson',5.0,2.0),"
35,PSYC,353\-1,Behavioral Neuroscience,MW,14:30:00,15:45:00,Alex Grizzell,3.5,2.5,"('PSYC','353\-1','Behavioral Neuroscience','MW','14:30:00','15:45:00','Alex Grizzell',3.5,2.5),"
36,PSYC,381\-1,NeuroeconomicsDecisionMaking,MW,13:00:00,14:15:00,Gregory Berns,5,1,"('PSYC','381\-1','NeuroeconomicsDecisionMaking','MW','13:00:00','14:15:00','Gregory Berns',5.0,1.0),"
37,PSYC,385\-2,Special Topics in Psychology,TuTh,10:00:00,11:15:00,Jessica Barber,3.5,2.5,"('PSYC','385\-2','Special Topics in Psychology','TuTh','10:00:00','11:15:00','Jessica Barber',3.5,2.5),"
38,PSYC,385\-3,Special Topics in Psychology,TuTh,11:30:00,12:45:00,Dongning Ren,3.5,2.5,"('PSYC','385\-3','Special Topics in Psychology','TuTh','11:30:00','12:45:00','Dongning Ren',3.5,2.5),"
39,PSYC,385\-4,Special Topics in Psychology,TuTh,8:30:00,9:45:00,Ebony Respress,3.5,2.5,"('PSYC','385\-4','Special Topics in Psychology','TuTh','08:30:00','09:45:00','Ebony Respress',3.5,2.5),"
40,PSYC,385\-5,Special Topics in Psychology,TuTh,13:00:00,14:15:00,Sara Botto,4.8,2.2,"('PSYC','385\-5','Special Topics in Psychology','TuTh','13:00:00','14:15:00','Sara Botto',4.8,2.2),"
41,PSYC,430\-1,Advanced Statistics and Research Methods,MW,10:00:00,11:15:00,Yuk Cheong,3.3,1.5,"('PSYC','430\-1','Advanced Statistics and Research Methods','MW','10:00:00','11:15:00','Yuk Cheong',3.3,1.5),"
42,PSYC,474R\-1,Sem Developmental Psychology,TuTh,10:00:00,11:15:00,Sara Botto,4.8,2.2,"('PSYC','474R\-1','Sem Developmental Psychology','TuTh','10:00:00','11:15:00','Sara Botto',4.8,2.2),"
43,PSYC,495A\-1,Honors Program,W,13:00:00,15:45:00,Patricia Bauer,3.5,2.5,"('PSYC','495A\-1','Honors Program','W','13:00:00','15:45:00','Patricia Bauer',3.5,2.5),"
44,PSYC,542\-1,Research Methods in Clinical Psychology,M,10:00:00,12:30:00,Patricia Brennan,0,0,"('PSYC','542\-1','Research Methods in Clinical Psychology','M','10:00:00','12:30:00','Patricia Brennan',0.0,0.0),"
45,PSYC,544\-1,Developmental Theory  Methods,W,16:00:00,18:45:00,Philippe Rochat,4.2,3.7,"('PSYC','544\-1','Developmental Theory  Methods','W','16:00:00','18:45:00','Philippe Rochat',4.2,3.7),"
46,PSYC,548\-1,Assessment IPsychometrics,TuTh,10:00:00,11:15:00,Ann Abramowitz,3.5,2.5,"('PSYC','548\-1','Assessment IPsychometrics','TuTh','10:00:00','11:15:00','Ann Abramowitz',3.5,2.5),"
47,PSYC,562\-1,Statistics I Design  Analysis,TuTh,13:00:00,14:15:00,Phillip Wolff,4.4,2.6,"('PSYC','562\-1','Statistics I Design  Analysis','TuTh','13:00:00','14:15:00','Phillip Wolff',4.4,2.6),"
48,PSYC,770R\-3,Topic Seminars Psych,M,10:00:00,12:30:00,Irwin Waldman,3.5,2.5,"('PSYC','770R\-3','Topic Seminars Psych','M','10:00:00','12:30:00','Irwin Waldman',3.5,2.5),"
49,PSYC,777R\-1,Research Seminar A,Th,16:00:00,17:30:00,Arber Tasimi,5,2.5,"('PSYC','777R\-1','Research Seminar A','Th','16:00:00','17:30:00','Arber Tasimi',5.0,2.5),"
50,PSYC,778R\-1,Research Seminar B,Tu,16:00:00,17:30:00,Michael Treadway,4.7,3.3,"('PSYC','778R\-1','Research Seminar B','Tu','16:00:00','17:30:00','Michael Treadway',4.7,3.3),"
51,PSYC,110\-2,Introduction to Psychobiology  Cognition,TuTh,11:30:00,12:45:00,Sharon Lewis,3.5,2.5,"('PSYC','110\-2','Introduction to Psychobiology  Cognition','TuTh','11:30:00','12:45:00','Sharon Lewis',3.5,2.5),"
52,PSYC,110\-3,Introduction to Psychobiology  Cognition,TuTh,10:00:00,11:15:00,Sharon Lewis,3.5,2.5,"('PSYC','110\-3','Introduction to Psychobiology  Cognition','TuTh','10:00:00','11:15:00','Sharon Lewis',3.5,2.5),"
53,PSYC,111\-1,Introduction to Psychology II Development Social Behavior and Individual Differences,TuTh,11:30:00,12:45:00,Leyla Eghbalzad,3.5,2.5,"('PSYC','111\-1','Introduction to Psychology II Development Social Behavior and Individual Differences','TuTh','11:30:00','12:45:00','Leyla Eghbalzad',3.5,2.5),"
54,PSYC,111\-2,Introduction to Psychology II Development Social Behavior and Individual Differences,TuTh,16:00:00,17:15:00,Leyla Eghbalzad,3.5,2.5,"('PSYC','111\-2','Introduction to Psychology II Development Social Behavior and Individual Differences','TuTh','16:00:00','17:15:00','Leyla Eghbalzad',3.5,2.5),"
55,PSYC,205\-1,Child Development,TuTh,13:00:00,14:15:00,Leyla Eghbalzad,3.5,2.5,"('PSYC','205\-1','Child Development','TuTh','13:00:00','14:15:00','Leyla Eghbalzad',3.5,2.5),"
56,PSYC,223Q\-1,Drugs and Behavior,MW,14:30:00,15:45:00,Jennifer McGee,0,0,"('PSYC','223Q\-1','Drugs and Behavior','MW','14:30:00','15:45:00','Jennifer McGee',0.0,0.0),"
57,PSYC,223Q\-2,Drugs and Behavior,MW,10:00:00,11:15:00,Jennifer McGee,0,0,"('PSYC','223Q\-2','Drugs and Behavior','MW','10:00:00','11:15:00','Jennifer McGee',0.0,0.0),"
58,PSYC,385R\-1,Special Topics In Psychology,TuTh,14:30:00,15:45:00,Scott Garner,3.5,2.5,"('PSYC','385R\-1','Special Topics In Psychology','TuTh','14:30:00','15:45:00','Scott Garner',3.5,2.5),"
59,PSYC,385R\-2,Special Topics In Psychology,TuTh,16:00:00,17:15:00,Scott Garner,3.5,2.5,"('PSYC','385R\-2','Special Topics In Psychology','TuTh','16:00:00','17:15:00','Scott Garner',3.5,2.5),"
60,IDS,190\-1,Fresh Sem IDS,TuTh,13:00:00,14:15:00,Kim Loudermilk,3.5,2.5,"('IDS','190\-1','Fresh Sem IDS','TuTh','13:00:00','14:15:00','Kim Loudermilk',3.5,2.5),"
61,IDS,200W\-1,Interdisciplinary Foundations,MW,8:30:00,9:45:00,Peter Wakefield,3.5,2.5,"('IDS','200W\-1','Interdisciplinary Foundations','MW','08:30:00','09:45:00','Peter Wakefield',3.5,2.5),"
