,Class Number,Class title
0,AAS 100,Intro To African American Studies
1,AAS 190,Fresh Sem: Africn Amer Studies: Sex/Gender in Afr. Diaspora
2,AAS 190,Fresh Sem: Africn Amer Studies: Sounds of Protest & Change:
3,AAS 190,Fresh Sem: Africn Amer Studies: Writing Bodies in the World
4,AAS 215,Jazz: Its Evolution & Essence
5,AAS 240,Methods in Black Studies
6,AAS 247,Racial & Ethnic Relations
7,AAS 259,"Race, Place, and Political Economy"
8,AAS 261,Survey of African-American Literature Before 1900
9,AAS 267W,The Civil Rights Movement
10,AAS 285W,Special Topics in African American Studies: Intro.to Anglophone Caribbean
11,AAS 303,Black Music
12,AAS 325,Black Love
13,AAS 346,African American Politics
14,AAS 350,African American Pedagogy
15,AAS 355,Historical Arts of Africa
16,AAS 359,Studies in African American Literature: 1900 to Present: AfAm.Literature & Pop. Culture
17,AAS 375,Topics in Black Women's Studies: Black Motherhood
18,AAS 375,Topics in Black Women's Studies: Black Women's Autobiographies
19,AAS 384,Slavery in US History and Culture
20,AAS 385,Topics in Afr American Studies: African Am. & Housing Politics
21,AAS 385,Topics in Afr American Studies: Black Middle Class in Film
22,AAS 385,Topics in Afr American Studies: Critical Black Thought
23,AAS 385,Topics in Afr American Studies: Afro- Pessissim
24,AAS 385,"Topics in Afr American Studies: Mass Incarceration, Policing"
25,AAS 385W,Topics in Afr American Studies: Black Literary Theory
26,AAS 387RW,GA Civil Rights Cold Cases
27,AAS 701,Proseminar in African American Studies
28,AAS 702,Readings and Methods in African American Studies
29,AAS 710,"Topics in Gender and Sexuality: Power,Ident.,Logics Legibility"
30,AAS 710,Topics in Gender and Sexuality: Violence&Vice Blk Women'sHist.
31,AAS 720,Topics in Social Justice and Social Movements: African Americans&Human Rights
32,AAS 730,Topics in Expressive Arts and Cultures: Africana Religious Studies
33,ACT 200,Accounting: The Language of Business
34,ACT 300,Business Analysis & Valuation
35,ACT 312A,Financial Reporting I
36,ACT 399R,Special Topics in Accounting: Strategic Cost Management
37,ACT 399R,Special Topics in Accounting: Sustainability Measures
38,ACT 399R,Special Topics in Accounting: Firm Fundamentals & Mispricing
39,ACT 410,Legal Environment of Business
40,ACT 499R,Special Topics: Data Analytics for Fin Bus Dec
41,ACT 499R,Special Topics: Corporate Political Strategy
42,ACT 512,Financial Reporting & Analysis
43,ACT 599R,Special Topics: Corporate Political Strategy
44,ACT 599R,Special Topics: Sustainability Meas. & Reptg
45,ACT 599R,Special Topics: Firm Fundamentals & Mispricing
46,ACT 599R,Special Topics: Corporate Political Strategy
47,ACT 599R,Special Topics: Sustainability Meas. & Reptg
48,ACT 599R,Special Topics: Firm Fundamentals & Mispricing
49,ACT 612A,Financial Reporting I
50,ACT 615,Federal Income Taxation
51,ACT 650,Accounting for Business Combinations and Multinational Operations
52,ACT 680,Professional Development I Accounting
53,ACT 712,Accounting Research II
54,AEPI 515D,Introduction to Public Health Surveillance
55,AEPI 530D,Applied Epidemiology I
56,AEPI 597D,Applied EPI Directed Study
57,AEPI 599R,Thesis
58,AFS 190,Frsh Seminar: African Studies: Humanitarian Inter.SexualViol.
59,AFS 270,Topic Seminar: Foundation Development Studies
60,AFS 270,"Topic Seminar: Africa, Islam and Race"
61,AFS 270,Topic Seminar: Colonialism and Independence
62,AFS 270,Topic Seminar: Media in the Lusophone World
63,AFS 270,Topic Seminar: Law & Social Justice
64,AFS 270,Topic Seminar: African Religions
65,AFS 311,Nutritional Anthropology
66,AFS 319,"Media, Islam, and Social Movements"
67,AFS 353,Pol.Econ.of M.East & N. Africa
68,AFS 355,Historical Arts of Africa
69,AFS 366W,Development Issues for Africa
70,AFS 367,The Making of South Africa
71,AMST 228,Asian American History
72,AMST 285,Special Topics: American Questions: Found of Amer Society to 1877
73,AMST 285,Special Topics: American Questions: Latinx US History
74,AMST 285,Special Topics: American Questions: Native American Hist to 1868
75,AMST 285,Special Topics: American Questions: The Migrant South
76,AMST 321,American Routes
77,AMST 348,Ethnic Experience in America
78,AMST 385,Special Topics: American Studies: Memory and Memoir
79,AMST 387RW,GA Civil Rights Cold Cases
80,AMST 490W,Senior Seminar
81,AMST 495RW,Honors Thesis
82,AMST 498R,Supervised Reading and Study
83,ANCMED 201R,Mediterranean Archaeology: Introduction to Archaeology
84,ANES 505A,Human Patient Simulation I
85,ANES 507,Intro to Anesthesia Practice
86,ANES 509,Anesthesia Practice Seminar
87,ANES 516B,Pharmacology In Anesthesia Practice II
88,ANES 520,Practical Aspects of Anesthesia Practice I
89,ANES 525,Applied Anatomy for Anesthesia Practice
90,ANES 530,Phys for Anesthesia Practice
91,ANES 535B,Principles of Instrumentation and Monitoring Equip II
92,ANES 536C,Anesthesiology Practice III
93,ANES 540C,Clinical Methods III
94,ANES 561C,Clinical Anesthesia III
95,ANES 611C,Senior Seminar In Anesthesia III
96,ANES 620,Practical Aspects of Anesthesia Practice II
97,ANES 660C,Clinical Anesthesia VI
98,ANES 680C,Comprehensive Examinations III
99,ANT 101,Introduction To Anthropology
100,ANT 185,"Anthropology: Special Topics: Ancient Aliens, Lost Cities"
101,ANT 190,Freshman Seminar:Anthropology: Anthro in the World of Data
102,ANT 190,"Freshman Seminar:Anthropology: Life, Land & Place"
103,ANT 200,Foundations of Behavior
104,ANT 201,Concepts And Methods in Biol Anth
105,ANT 202,Concepts and Methods in Cultural Anthropology
106,ANT 203,Foundations of Linguistics
107,ANT 205,Foundations of Global Health
108,ANT 207,Foundation Development Studies
109,ANT 258,Anthropology of the Jews
110,ANT 285,Anthropology; Special Topics: African Religions
111,ANT 285,Anthropology; Special Topics: Introduction to Archaeology
112,ANT 302,Primate Behavior & Ecology
113,ANT 311,Nutritional Anthropology
114,ANT 325,"Language, Gender and Sexuality"
115,ANT 339,Defining Health: Biocultural Perspectives
116,ANT 349,"Food, Health, and Society"
117,ANT 351W,Sustainable Dev:Anthro Perspective
118,ANT 385,Special Topics: Anthropology: Anthropology of Crisis
119,ANT 385,Special Topics: Anthropology: Humans and Their Environment
120,ANT 391,"Law, Discipline, and Justice"
121,ANT 455W,Current Issues in Primatology
122,ANT 499W,Capstone Seminar: Why Anthropology Matters
123,ANT 500,Proseminar in Anthropology
124,ANT 506,Culture And Power
125,ANT 510,Medical Anthropology
