,class_prefix,class_num,class_name
0,SOC,495A,Honors
1,SOC,497R,Directed Research
2,SOC,498R,Supervised Reading
3,SOC,499R,Independent Research
4,SOC,500,Research MethodsModelsStatistics
5,SOC,501,Research Methods & Models Design
6,SOC,531,Sociology of Health & Illness
7,SOC,585,Advanced Topics in Sociological Research Ethnoracial Hlth Inequalities
10,SOC,597R,Advanced Topics in Sociological Research BigSmall Data & Visualization
11,SOC,599R,Advanced Topics in Sociological Research Advanced Network Analysis
12,SOC,797R,Directed Study
13,SOC,799R,M.A. Research
14,SPAN,101,Directed Study
15,SPAN,201,Phd Research
16,SPAN,212,Elementary Spanish I
17,SPAN,300,Intermediate Spanish I
18,SPAN,301W,Intro to Hisp Texts & Contexts
19,SPAN,302W,Introduction to Hispanic Cultural History
20,SPAN,303,Early Hispanic Texts & Contexts
21,SPAN,304,Modern Hispanic Texts & Contexts
22,SPAN,331,Phonetics The Sounds of Spanish
23,SPAN,336,Introduction to Spanish Linguistics
24,SPAN,405W,The Spanish Civil War
25,SPAN,410,Introduction to Translation
26,SPAN,421W,Language and Discourse on the Web
27,SPAN,424,Topics in Spanish Linguistics The Structure of Spanish
28,SPAN,485,Mexican National Cinema
30,SPAN,495A,Culture of Human Rights
31,SPAN,497R,Topics in Hispanic Culture Romanticism and Nationalism
32,SR,593,Topics in Hispanic Culture Nature and the New World
33,SR,601,Honors
34,SR,612,Supervised Reading
35,SR,615,Religion & Health Sexual & Reproductive Health
36,SR,620,Sociology Of Religion
37,SR,633,The Church and Disabilities
38,SR,645,"Immigration, Religion, and the American Church"
39,SR,665,Nonviolent StrategiesSocial Change
40,SR,699,African American Religion and Culture
41,ST,501,"Race, Class and the Making of American Religion"
42,ST,628,"Catholicism in America Migration, Transnationalism, & Devotion"
43,ST,641,Directed Study
44,ST,652,Systematic Theology
45,ST,698,Liturgical Theology
47,TATT,600,Christology & Ethics
48,TATT,605ANT,Global Feminist Theologies
49,TATT,605ARTH,"Special Topics in System Theology Suffering, Solidarity & Cross"
50,TATT,605BCDB,Special Topics in System Theology Queer Theology
51,TATT,605BIOS,Graduate School Workshop
52,TATT,605BSHE,Teaching Assistantship
53,TATT,605BUS,Teaching Assistantship
54,TATT,605CB,Teaching Assistantship
55,TATT,605CHEM,Teaching Assistantship
56,TATT,605CPLT,Teaching Assistantship
57,TATT,605CS,Teaching Assistantship
58,TATT,605ECON,Teaching Assistantship
59,TATT,605EHS,Teaching Assistantship
60,TATT,605ENG,Teaching Assistantship
61,TATT,605EPI,Teaching Assistantship
62,TATT,605FREN,Teaching Assistantship
63,TATT,605GMB,Teaching Assistantship
64,TATT,605HIST,Teaching Assistantship
65,TATT,605HPM,Teaching Assistantship
66,TATT,605ICIVS,Teaching Assistantship
67,TATT,605IMP,Teaching Assistantship
68,TATT,605MATH,Teaching Assistantship
69,TATT,605MMG,Teaching Assistantship
70,TATT,605MSP,Teaching Assistantship
71,TATT,605NHS,Teaching Assistantship
72,TATT,605NRSG,Teaching Assistantship
73,TATT,605NS,Teaching Assistantship
74,TATT,605PBEE,Teaching Assistantship
75,TATT,605PHIL,Teaching Assistantship
76,TATT,605PHYS,Teaching Assistantship
77,TATT,605POLS,Teaching Assistantship
78,TATT,605PSYC,Teaching Assistantship
79,TATT,605REL,Teaching Assistantship
80,TATT,605WGS,Teaching Assistantship
81,TATT,610ANT,Teaching Assistantship
82,TATT,610ARTH,Teaching Assistantship
83,TATT,610BIOS,Teaching Assistantship
84,TATT,610BUS,Teaching Assistantship
85,TATT,610CHEM,Teaching Associateship
86,TATT,610CPLT,Teaching Associateship
87,TATT,610ECON,Teaching Associateship
88,TATT,610EHS,Teaching Associateship
89,TATT,610ENG,Teaching Associateship
90,TATT,610FREN,Teaching Associateship
91,TATT,610HIST,Teaching Associateship
92,TATT,610MATH,Teaching Associateship
93,TATT,610NHS,Teaching Associateship
94,TATT,610PHYS,Teaching Associateship
95,TATT,610POLS,Teaching Associateship
96,TATT,610PSYC,Teaching Associateship
97,TATT,610REL,Teaching Associateship
98,TATT,610SOC,Teaching Associateship
99,TATT,610WGS,Teaching Associateship
100,TBT,101,Teaching Associateship
101,TESL,300,Teaching Associateship
102,THEA,100,Teaching Associateship
103,THEA,120,Teaching Associateship
104,THEA,130,Elementary Tibetan I
105,THEA,190,English for Other Language Written
107,THEA,200R,Introduction to the Theater
108,THEA,210W,Acting Fundamentals
109,THEA,215,Stagecraft
110,THEA,221,Fresh Seminar
111,THEA,223,Fresh Seminar PRETENDINGWorld Make-Believe
112,THEA,240,Theatre Practicum
113,THEA,289,Reading for Performance
114,THEA,300R,History of Drama and Theater I
115,THEA,320R,Acting Scene Work
116,THEA,322,Voice & Diction
117,THEA,329,Arts Administration
118,THEA,331,Special Topics Theatre Audition Preparation
119,THEA,366W,Production Assistantship
120,THEA,372RW,Acting Laboratory Credit for Theater Emory Productions
121,THEA,385,Acting Developing A Role
122,THEA,410W,"Art as Work Self, Community, and Practice"
123,THEA,443R,Costume Design
124,THEA,495RW,Contemporary Drama
125,THEA,496R,Intermediate Playwriting
126,THM,501,Special Topics Principles of Drama Therapy
127,THM,600,Aesthetics and Criticism
128,THM,650,Performance Techniques
129,THM,999R,Honors Project in Theater
130,VM,999D1,Internship in Theater
131,VM,999D2,ThM Project Seminar
132,VM,999INT1,Post-MDiv Elective
133,VM,999INT2,ThM Project
134,VMR,999,THM Administrative Fee
135,W,501,Visiting Medical Rotation One
136,W,628,Visiting Medical Rotation Two
137,W,638,Visiting Medical Rotation One
138,W,699,Visiting Medical Rotation Two
139,WGS,100W,Visiting Medical Research Rotation
140,WGS,190,Public Worship
142,WGS,200,Liturgical Theology
143,WGS,285,Planning Christian Worship
147,WGS,333,Directed Study
148,WGS,358,Gender Trouble
149,WGS,385,"Fresh Sem Women, Gender, & Sexuality Studies Manifesto!"
152,WGS,385W,"Fresh Sem Women, Gender, & Sexuality Studies Buddhist Women Through Ages"
153,WGS,475R,Introduction to WGSS
154,WGS,490RW,"Variable Topics in Women, Gender & Sexuality Studies History of HIVAIDS in the US"
155,WGS,495RW,"Variable Topics in Women, Gender & Sexuality Studies LGBTQ Religion & Spirituality"
156,WGS,585,"Variable Topics in Women, Gender & Sexuality Studies Latinas and Religion"
157,WGS,586R,"Variable Topics in Women, Gender & Sexuality Studies Intersection.Theory&Praxis"
158,WGS,589R,"Language, Gender and Sexuality"
159,WGS,597R,Women and the Law
160,WGS,700,"Spec Topics Women, Gender, & Sexuality Studies Black Queer Studies"
161,WGS,710,"Spec Topics Women, Gender, & Sexuality Studies Law, Discipline, and Justice"
162,WGS,730R,"Spec Topics Women, Gender, & Sexuality Studies When Bodies Don't Matter"
164,WGS,752R,"Spec Topics Women, Gender, & Sexuality Studies Contemporary Drama"
165,WGS,798R,Advanced Seminar Gender in Film and Media
166,WGS,799R,"Senior Sem in Women, Gender, & Sexuality Studies"
167,WR,510,Honors Research
168,WR,603,"Special Topics Women, Gender, & Sexuality Studies Blackness and Psychoanalysis"
169,WR,624,"Race, Class & Justice Violence and Vulnerability"
170,WR,650,"Bodies, Sexualities & Science Medicine, Science, and Power"
171,WR,652,Directed Reading
172,WR,699R,"Women, Gender, & Sexuality Studies Pro-Seminar"
173,WTM,500,Research Design
174,WTM,501,"Special Topics Women, Gender, & Sexuality Studies 脡douard Glissant and Feminist"
175,WTM,505,"Special Topics Women, Gender, & Sexuality Studies"
176,YDD,397R,Queer Theory
177,DONE,,Pre-Candidacy Research
178,AAAA,999N,Advanced Research
179,AAS,100,Introduction to Judaism
180,ACT,399R,Ancient Judiasm
181,ACT,410,Rastafari Religion
182,ACT,512,Islam in America
183,ACT,512Y,History and Practice of Christian-Muslim Relations
184,ACT,513,Directed Study
185,ACT,690,WTM Professional Development
186,ACT,691,Women's Forum
187,ACT,691A,WTM Integrative Project
188,AEPI,536D,Supervised Reading In Yiddish Lit
189,AEPI,550D,Reset Search
190,AEPI,597D,Course To Be Scheduled Later
191,AEPI,599R,Intro To African American Studies
192,AFS,270,Special Topics in Accounting Personal Financial Planning
193,AMST,322W,Legal Environment of Business
194,ANES,505A,Financial Reporting & Analysis
195,ANES,507,Financial Reporting
196,ANES,509,Managerial Accounting
197,ANES,516B,Professional Development II
198,ANES,520,Applied Work Experience
199,ANES,525,Applied Work Experience
200,ANES,530,Epidemiological Modeling
201,ANES,535B,Topics in Applied Epidemiology
202,ANES,536C,Applied EPI Directed Study
203,ANES,540C,Thesis
204,ANES,561C,Topic Seminar
205,ANES,611C,Baseball and American Culture
206,ANES,620,Human Patient Simulation I
207,ANES,660C,Intro to Anesthesia Practice
208,ANES,680C,Anesthesia Practice Seminar
209,ANES,840,Pharmacology In Anesthesia Practice II
210,ANT,207,Practical Aspects of Anesthesia Practice I
211,ANT,217W,Applied Anatomy for Anesthesia Practice
212,ANT,334,Phys for Anesthesia Practice
213,ANT,385,Principles of Instrumentation and Monitoring Equip II
214,ANT,798R,Anesthesiology Practice III
215,ANT,799R,Clinical Methods III
216,APHI,525D,Clinical Anesthesia III
217,APHI,527D,Senior Seminar In Anesthesia III
218,APHI,550D,Practical Aspects of Anesthesia Practice II
219,APHI,581D,Clinical Anesthesia VI
220,APHI,597D,Comprehensive Examinations III
221,APHI,599R,General Med School Anesthesiology Holding
222,ARTHIST,216W,Foundation Development Studies
223,ARTHIST,599R,East Asian Calligraphy
224,ARTHIST,799R,Evolutionary Medicine
225,ARTVIS,109,Special Topics Anthropology
226,ATA,499,Advanced Research
227,BCDB,699R,Dissertation Research
228,BCDB,799R,"Overview of Data Sources, Standards, and Information Systems"
229,BIOETH,505,Public Health Technology Systems and Architectures
230,BIOETH,506,Business Aspects of Public Health Informatics
231,BIOETH,599R,Applied Data Science & Decision Support Capstone II
232,BIOETH,601,Directed Study
233,BIOETH,602R,Thesis
234,BIOL,120,East Asian Calligraphy
235,BIOL,141,Thesis Research
236,BIOL,141L,Dissertation Research
237,BIOL,142,Intro Sculpture
238,BIOL,142L,ThD Dissertation Research
239,BIOL,301,Advanced Graduate Research
240,BIOL,320,Dissertation Research
241,BIOL,336,Special Topics in Bioethics
242,BIOL,497R,Independent Study in Bioethics
243,BIOS,518D,Thesis Hours
244,BIOS,595,Practicum in Bioethics
245,BIOS,597R,Capstone in Bioethics
246,BIOS,599R,Concepts In Biology WLab
247,BIOS,795R,Foundations of Modern Biol I
248,BIOS,797R,Foundations of Modern Biology I Lab
250,BIOS,799R,Foundations of Modern Biol II
251,BL,515,Foundations of Modern Biology II Lab
252,BMED,599R,Biochemistry I
253,BMED,799R,Animal Behavior
254,BMED,9000,Human Physiology
255,BMED,9999R,Supervised Reading
256,BSHE,504D,Applied Biostatistics III
257,BSHE,597R,Applied Practice Experience
258,BSHE,599R,Directed Study
259,BSHE,797R,Thesis
260,BSHE,798R,Pre-Candidacy Research
261,BSHE,799R,Directed Study
262,BUS,380,Directed Study Spatial Epidemiology
263,BUS,496,Dissertation
264,BUS,496A,Introduction to Biblical Hebrew (Summer Intensive)
265,BUS,496B,Thesis Research
266,BUS,497R,Dissertation Research
267,BUS,500Y,Doctoral Thesis
268,BUS,536,Joint Georgia TechEmory Biomedical Engineering Program Enrollment
269,BUS,591Y,Social Behavior In Public Health
270,BUS,596,Directed Study
271,BUS,694,Thesis
274,BUS,697,Directed Study
278,BUS,704,Research Hours
279,BUS,798R,Dissertation Research
280,BUS,799R,Professional Development
281,CB,597R,Internship
282,CB,599R,Applied Consulting Experience
283,CB,699R,Advanced Internship
284,CB,799R,Directed Study
