,Class Number,Class title
1,SOC 497R,Directed Research
2,SOC 498R,Supervised Reading
3,SOC 499R,Independent Research
4,SOC 500,Research MethodsModelsStatistics
5,SOC 501,Research Methods & Models Design
6,SOC 531,Sociology of Health & Illness
7,SOC 585,Advanced Topics in Sociological Research Ethnoracial Hlth Inequalities
8,SOC 585,Advanced Topics in Sociological Research BigSmall Data & Visualization
9,SOC 585,Advanced Topics in Sociological Research Advanced Network Analysis
10,SOC 597R,Directed Study
11,SOC 599R,M.A. Research
12,SOC 797R,Directed Study
13,SOC 799R,Phd Research
14,SPAN 101,Elementary Spanish I
15,SPAN 201,Intermediate Spanish I
16,SPAN 212,Intro to Hisp Texts & Contexts
17,SPAN 300,Introduction to Hispanic Cultural History
18,SPAN 301W,Early Hispanic Texts & Contexts
19,SPAN 302W,Modern Hispanic Texts & Contexts
20,SPAN 303,Phonetics The Sounds of Spanish
21,SPAN 304,Introduction to Spanish Linguistics
22,SPAN 331,The Spanish Civil War
23,SPAN 336,Introduction to Translation
24,SPAN 405W,Language and Discourse on the Web
25,SPAN 410,Topics in Spanish Linguistics The Structure of Spanish
26,SPAN 421W,Mexican National Cinema
27,SPAN 424,Culture of Human Rights
28,SPAN 485,Topics in Hispanic Culture Romanticism and Nationalism
29,SPAN 485,Topics in Hispanic Culture Nature and the New World
30,SPAN 495A,Honors
31,SPAN 497R,Supervised Reading
32,SR 593,Religion & Health Sexual & Reproductive Health
33,SR 601,Sociology Of Religion
34,SR 612,The Church and Disabilities
35,SR 615,"Immigration, Religion, and the American Church"
36,SR 620,Nonviolent StrategiesSocial Change
37,SR 633,African American Religion and Culture
38,SR 645,"Race, Class and the Making of American Religion"
39,SR 665,"Catholicism in America Migration, Transnationalism, & Devotion"
40,SR 699,Directed Study
41,ST 501,Systematic Theology
42,ST 628,Liturgical Theology
43,ST 641,Christology & Ethics
44,ST 652,Global Feminist Theologies
45,ST 698,"Special Topics in System Theology Suffering, Solidarity & Cross"
46,ST 698,Special Topics in System Theology Queer Theology
47,TATT 600,Graduate School Workshop
48,TATT 605ANT,Teaching Assistantship
49,TATT 605ARTH,Teaching Assistantship
50,TATT 605BCDB,Teaching Assistantship
51,TATT 605BIOS,Teaching Assistantship
52,TATT 605BSHE,Teaching Assistantship
53,TATT 605BUS,Teaching Assistantship
54,TATT 605CB,Teaching Assistantship
55,TATT 605CHEM,Teaching Assistantship
56,TATT 605CPLT,Teaching Assistantship
57,TATT 605CS,Teaching Assistantship
58,TATT 605ECON,Teaching Assistantship
59,TATT 605EHS,Teaching Assistantship
60,TATT 605ENG,Teaching Assistantship
61,TATT 605EPI,Teaching Assistantship
62,TATT 605FREN,Teaching Assistantship
63,TATT 605GMB,Teaching Assistantship
64,TATT 605HIST,Teaching Assistantship
65,TATT 605HPM,Teaching Assistantship
66,TATT 605ICIVS,Teaching Assistantship
67,TATT 605IMP,Teaching Assistantship
68,TATT 605MATH,Teaching Assistantship
69,TATT 605MMG,Teaching Assistantship
70,TATT 605MSP,Teaching Assistantship
71,TATT 605NHS,Teaching Assistantship
72,TATT 605NRSG,Teaching Assistantship
73,TATT 605NS,Teaching Assistantship
74,TATT 605PBEE,Teaching Assistantship
75,TATT 605PHIL,Teaching Assistantship
76,TATT 605PHYS,Teaching Assistantship
77,TATT 605POLS,Teaching Assistantship
78,TATT 605PSYC,Teaching Assistantship
79,TATT 605REL,Teaching Assistantship
80,TATT 605WGS,Teaching Assistantship
81,TATT 610ANT,Teaching Associateship
82,TATT 610ARTH,Teaching Associateship
83,TATT 610BIOS,Teaching Associateship
84,TATT 610BUS,Teaching Associateship
85,TATT 610CHEM,Teaching Associateship
86,TATT 610CPLT,Teaching Associateship
87,TATT 610ECON,Teaching Associateship
88,TATT 610EHS,Teaching Associateship
89,TATT 610ENG,Teaching Associateship
90,TATT 610FREN,Teaching Associateship
91,TATT 610HIST,Teaching Associateship
92,TATT 610MATH,Teaching Associateship
93,TATT 610NHS,Teaching Associateship
94,TATT 610PHYS,Teaching Associateship
95,TATT 610POLS,Teaching Associateship
96,TATT 610PSYC,Teaching Associateship
97,TATT 610REL,Teaching Associateship
98,TATT 610SOC,Teaching Associateship
99,TATT 610WGS,Teaching Associateship
100,TBT 101,Elementary Tibetan I
101,TESL 300,English for Other Language Written
102,THEA 100,Introduction to the Theater
103,THEA 120,Acting Fundamentals
104,THEA 130,Stagecraft
105,THEA 190,Fresh Seminar
106,THEA 190,Fresh Seminar PRETENDINGWorld Make-Believe
107,THEA 200R,Theatre Practicum
108,THEA 210W,Reading for Performance
109,THEA 215,History of Drama and Theater I
110,THEA 221,Acting Scene Work
111,THEA 223,Voice & Diction
112,THEA 240,Arts Administration
113,THEA 289,Special Topics Theatre Audition Preparation
114,THEA 300R,Production Assistantship
115,THEA 320R,Acting Laboratory Credit for Theater Emory Productions
116,THEA 322,Acting Developing A Role
117,THEA 329,"Art as Work Self, Community, and Practice"
118,THEA 331,Costume Design
119,THEA 366W,Contemporary Drama
120,THEA 372RW,Intermediate Playwriting
121,THEA 385,Special Topics Principles of Drama Therapy
122,THEA 410W,Aesthetics and Criticism
123,THEA 443R,Performance Techniques
124,THEA 495RW,Honors Project in Theater
125,THEA 496R,Internship in Theater
126,THM 501,ThM Project Seminar
127,THM 600,Post-MDiv Elective
128,THM 650,ThM Project
129,THM 999R,THM Administrative Fee
130,VM 999D1,Visiting Medical Rotation One
131,VM 999D2,Visiting Medical Rotation Two
132,VM 999INT1,Visiting Medical Rotation One
133,VM 999INT2,Visiting Medical Rotation Two
134,VMR 999,Visiting Medical Research Rotation
135,W 501,Public Worship
136,W 628,Liturgical Theology
137,W 638,Planning Christian Worship
138,W 699,Directed Study
139,WGS 100W,Gender Trouble
140,WGS 190,"Fresh Sem Women, Gender, & Sexuality Studies Manifesto!"
141,WGS 190,"Fresh Sem Women, Gender, & Sexuality Studies Buddhist Women Through Ages"
142,WGS 200,Introduction to WGSS
143,WGS 285,"Variable Topics in Women, Gender & Sexuality Studies History of HIVAIDS in the US"
144,WGS 285,"Variable Topics in Women, Gender & Sexuality Studies LGBTQ Religion & Spirituality"
145,WGS 285,"Variable Topics in Women, Gender & Sexuality Studies Latinas and Religion"
146,WGS 285,"Variable Topics in Women, Gender & Sexuality Studies Intersection.Theory&Praxis"
147,WGS 333,"Language, Gender and Sexuality"
148,WGS 358,Women and the Law
149,WGS 385,"Spec Topics Women, Gender, & Sexuality Studies Black Queer Studies"
150,WGS 385,"Spec Topics Women, Gender, & Sexuality Studies Law, Discipline, and Justice"
151,WGS 385,"Spec Topics Women, Gender, & Sexuality Studies When Bodies Don't Matter"
152,WGS 385W,"Spec Topics Women, Gender, & Sexuality Studies Contemporary Drama"
153,WGS 475R,Advanced Seminar Gender in Film and Media
154,WGS 490RW,"Senior Sem in Women, Gender, & Sexuality Studies"
155,WGS 495RW,Honors Research
156,WGS 585,"Special Topics Women, Gender, & Sexuality Studies Blackness and Psychoanalysis"
157,WGS 586R,"Race, Class & Justice Violence and Vulnerability"
158,WGS 589R,"Bodies, Sexualities & Science Medicine, Science, and Power"
159,WGS 597R,Directed Reading
160,WGS 700,"Women, Gender, & Sexuality Studies Pro-Seminar"
161,WGS 710,Research Design
162,WGS 730R,"Special Topics Women, Gender, & Sexuality Studies 脡douard Glissant and Feminist"
163,WGS 730R,"Special Topics Women, Gender, & Sexuality Studies"
164,WGS 752R,Queer Theory
165,WGS 798R,Pre-Candidacy Research
166,WGS 799R,Advanced Research
167,WR 510,Introduction to Judaism
168,WR 603,Ancient Judiasm
169,WR 624,Rastafari Religion
170,WR 650,Islam in America
171,WR 652,History and Practice of Christian-Muslim Relations
172,WR 699R,Directed Study
173,WTM 500,WTM Professional Development
174,WTM 501,Women's Forum
175,WTM 505,WTM Integrative Project
176,YDD 397R,Supervised Reading In Yiddish Lit
177,DONE,Reset Search
178,AAAA 999N,Course To Be Scheduled Later
179,AAS 100,Intro To African American Studies
180,ACT 399R,Special Topics in Accounting Personal Financial Planning
181,ACT 410,Legal Environment of Business
182,ACT 512,Financial Reporting & Analysis
183,ACT 512Y,Financial Reporting
184,ACT 513,Managerial Accounting
185,ACT 690,Professional Development II
186,ACT 691,Applied Work Experience
187,ACT 691A,Applied Work Experience
188,AEPI 536D,Epidemiological Modeling
189,AEPI 550D,Topics in Applied Epidemiology
190,AEPI 597D,Applied EPI Directed Study
191,AEPI 599R,Thesis
192,AFS 270,Topic Seminar
193,AMST 322W,Baseball and American Culture
194,ANES 505A,Human Patient Simulation I
195,ANES 507,Intro to Anesthesia Practice
196,ANES 509,Anesthesia Practice Seminar
197,ANES 516B,Pharmacology In Anesthesia Practice II
198,ANES 520,Practical Aspects of Anesthesia Practice I
199,ANES 525,Applied Anatomy for Anesthesia Practice
200,ANES 530,Phys for Anesthesia Practice
201,ANES 535B,Principles of Instrumentation and Monitoring Equip II
202,ANES 536C,Anesthesiology Practice III
203,ANES 540C,Clinical Methods III
204,ANES 561C,Clinical Anesthesia III
205,ANES 611C,Senior Seminar In Anesthesia III
206,ANES 620,Practical Aspects of Anesthesia Practice II
207,ANES 660C,Clinical Anesthesia VI
208,ANES 680C,Comprehensive Examinations III
209,ANES 840,General Med School Anesthesiology Holding
210,ANT 207,Foundation Development Studies
211,ANT 217W,East Asian Calligraphy
212,ANT 334,Evolutionary Medicine
213,ANT 385,Special Topics Anthropology
214,ANT 798R,Advanced Research
215,ANT 799R,Dissertation Research
216,APHI 525D,"Overview of Data Sources, Standards, and Information Systems"
217,APHI 527D,Public Health Technology Systems and Architectures
218,APHI 550D,Business Aspects of Public Health Informatics
219,APHI 581D,Applied Data Science & Decision Support Capstone II
220,APHI 597D,Directed Study
221,APHI 599R,Thesis
222,ARTHIST 216W,East Asian Calligraphy
223,ARTHIST 599R,Thesis Research
224,ARTHIST 799R,Dissertation Research
225,ARTVIS 109,Intro Sculpture
226,ATA 499,ThD Dissertation Research
227,BCDB 699R,Advanced Graduate Research
228,BCDB 799R,Dissertation Research
229,BIOETH 505,Special Topics in Bioethics
230,BIOETH 506,Independent Study in Bioethics
231,BIOETH 599R,Thesis Hours
232,BIOETH 601,Practicum in Bioethics
233,BIOETH 602R,Capstone in Bioethics
234,BIOL 120,Concepts In Biology WLab
235,BIOL 141,Foundations of Modern Biol I
236,BIOL 141L,Foundations of Modern Biology I Lab
237,BIOL 142,Foundations of Modern Biol II
238,BIOL 142L,Foundations of Modern Biology II Lab
239,BIOL 301,Biochemistry I
240,BIOL 320,Animal Behavior
241,BIOL 336,Human Physiology
242,BIOL 497R,Supervised Reading
243,BIOS 518D,Applied Biostatistics III
244,BIOS 595,Applied Practice Experience
245,BIOS 597R,Directed Study
246,BIOS 599R,Thesis
247,BIOS 795R,Pre-Candidacy Research
248,BIOS 797R,Directed Study
249,BIOS 797R,Directed Study Spatial Epidemiology
250,BIOS 799R,Dissertation
251,BL 515,Introduction to Biblical Hebrew (Summer Intensive)
252,BMED 599R,Thesis Research
253,BMED 799R,Dissertation Research
254,BMED 9000,Doctoral Thesis
255,BMED 9999R,Joint Georgia TechEmory Biomedical Engineering Program Enrollment
256,BSHE 504D,Social Behavior In Public Health
257,BSHE 597R,Directed Study
258,BSHE 599R,Thesis
259,BSHE 797R,Directed Study
260,BSHE 798R,Research Hours
261,BSHE 799R,Dissertation Research
262,BUS 380,Professional Development
263,BUS 496,Internship
264,BUS 496A,Applied Consulting Experience
265,BUS 496B,Advanced Internship
266,BUS 497R,Directed Study
267,BUS 500Y,Goizueta IMPACT
268,BUS 536,Washington Campus
269,BUS 591Y,Cornerstone
270,BUS 596,Internship
271,BUS 694,Study Abroad Aalto
272,BUS 694,Study Abroad WHU
273,BUS 694,Study Abroad UTDT Argentina
274,BUS 697,Directed Study Crisis Leadership
275,BUS 697,Directed Study
276,BUS 697,Directed Study Crisis Operations Management
277,BUS 697,Directed Study
278,BUS 704,Teaching Business-TATTO
279,BUS 798R,Pre-Candidacy Dissertation Research
280,BUS 799R,Dissertation
281,CB 597R,Laboratory Rotations
282,CB 599R,Thesis Research (Master Level)
283,CB 699R,Advanced Graduate Research
284,CB 799R,Dissertation Research
285,CC 501,Church And Comm Ministries
286,CC 645,Non_Proft Leadership & Management
287,CE 545R,Ministry Internship
288,CE 546R,Clinical Pastoral Education
289,CHEM 150,Structure and Properties
290,CHEM 150L,Structure and Properties Lab
291,CHEM 202,Principles of Reactivity
292,CHEM 202L,Principles of Reactivity Lab
293,CHEM 203,Advanced Reactivity
294,CHEM 203L,Advanced Reactivity Lab
295,CHEM 204,Macromolecules
296,CHEM 399R,Introduction To Research
297,CHEM 499R,Undergraduate Research
298,CHEM 599R,Thesis Research
299,CHEM 799R,Advanced Research
300,CHN 216W,East Asian Calligraphy
301,CHN 370W,Noodle NarrativesSilk Road
302,CL 329R,"Spec Stud in Classical Culture Ancient Worlds, Modern Media"
303,CPLT 797R,Directed Readings
304,CPLT 798R,Supervised Research
305,CPLT 799R,Dissertation Research
306,CPTR 501,Translational to Clinical Med.
307,CS 170,Introduction To Computer Science I
308,CS 171,Introduction to Computer Science II
309,CS 224,Foundations of Computer Science
310,CS 497R,Directed Study
311,CS 596R,Computer Science Master's Practicum
312,CS 597R,Directed Study
313,CS 598R,Rotation Project
314,CS 599R,Research
315,CS 799R,Dissertation Research
316,DANC 340W,Arts Writing & Criticism
317,DPT 700,Health Promotion Individual
318,DPT 705,Human Anatomy
319,DPT 710,Fundamentals of Clinical Measurements
320,DPT 715,Kinesiology and Biomechanics
321,DPT 720,Ethics and Professionalism
322,DPT 725,Interpersonal Communications
323,DPT 800,Musculoskeletal Rehabilitation
324,DPT 805,Principles of Motor Learning
325,DPT 900,Terminal Clinical Education Experience III
326,DPT 905,Current Practices in PT
327,DPT 950,DPT Holding
328,DPT 970,Directed Study
329,DPT 973,Directed Study III
330,DS 501,Methodist History and Doctrine
331,DS 502,United Methodist History and Polity
332,EAS 216W,East Asian Calligraphy
333,ECON 101,Principles Of Microeconomics
334,ECON 112,Principles Of Macroeconomics
335,ECON 201,Intermediate Microeconomics
336,ECON 212,Intermediate Macroeconomics
337,ECON 231,Intro To Global Trade And Finance
338,ECON 309W,Contemporary Economic Issues
339,ECON 397R,Directed Reading In Economics
340,ECON 449,Economics Internship
341,ECON 496R,Tutorial in Economics
342,ECON 496RW,Tutorial in Economics
343,ECON 599R,Thesis Research
344,ECON 799R,Dissertation Research
345,EH 500D,Perspectives In Environmental Hlth
346,EH 595,Applied Practice Experience
347,EH 597R,Directed Study
348,EH 599R,Thesis
349,EHS 600R,Research Rotation
350,EHS 798R,Pre-candidacy Research
351,EHS 799R,Dissertation Research
352,ELSP 503,Fluency Building II
353,ELSP 516,Communication Skills for Intermediate Speakers III
354,ENG 215,History of Drama and Theater I
355,ENG 221RW,Advanced Writing Workshop American Civil Rights Movement
356,ENG 255W,British Literature Before 1660
357,ENG 302W,Technical Writing
358,ENG 348W,Contemporary Literature
359,ENG 380W,Topic Writing RhetoricLiteracy
360,ENG 380W,Topic Writing RhetoricLiteracy Arts Writing & Criticism
361,ENG 389W,Special TopicsLiterature Baseball and American Culture
362,ENG 389W,Special TopicsLiterature American Crime Fiction
363,ENG 599R,Masters Thesis
364,ENG 799R,Doctoral Dissertation
365,ENGCW 271W,Introduction to Poetry Writing
366,ENGCW 272W,Introduction to Fiction Writing
367,ENVS 229,Atmospheric Science with Lab
368,ENVS 239,Physical Oceanography
369,ENVS 240,Ecosystem Ecology
370,EPI 595,Applied Practice Experience
371,EPI 597R,Directed Study
372,EPI 599R,Thesis
373,EPI 798R,Pre-candidacy Research
374,EPI 799R,Research
375,ES 663,"Religion, Violence & Peacebuilding"
376,EV 501,Enabling An Evangelizing Church
377,FILM 107,Intro to Digital Video
378,FILM 270,Introduction To Film
379,FILM 380,Video Games
380,FILM 498R,Directed Project in Production
381,FIN 399R,Special Topics in Finance Personal Financial Investing
382,FIN 501A,Managerial Economics
383,FIN 501C,Managerial Economics
384,FIN 501Y,Economics
385,FIN 520,Managerial Finance
386,FIN 520B,Managerial Finance
387,FIN 520Y,Management Finance
388,FIN 589,Mergers & Acquisitions
389,FREN 101,Elementary French I
390,FREN 102,Elementary French II
391,FREN 210,French For Reading Comprehension
392,FREN 599R,Individualized Research
393,FREN 799R,Individualized Research
394,GER 210,German for Reading Comprehension
395,GH 500D,Addressing Key Issues in Global Health
396,GH 595,Applied Practice Experience
397,GH 597R,Directed Study
398,GH 598R,Special Study Project
399,GH 599R,Thesis
400,GMB 597R,Laboratory Rotations
401,GMB 599R,Thesis Research (Master Level)
402,GMB 699R,Advanced Graduate Research
403,GMB 799R,Dissertation Research
404,GRAD 705R,Graduate Internship Experience
405,HGC 735D,Clinical Practicum Rotation III
406,HGC 735E,Clinical Practicum Rotation IV
407,HGC 740C,Focus Internship III
408,HGC 805,Public Health Genomics (Online Course)
409,HGC 825,Genetic Counseling Independent Study I
410,HISP 597R,Directed Study
411,HIST 201,Formation of European Society
412,HIST 251W,Intimacy and Terror Stalinism
413,HIST 296,Special Topics Cross-listed History of Drama and Theater I
414,HIST 327W,The Soviet World War 1939-1945
415,HIST 599R,Research
