subject_name,major,degree,course_prefix,course_num,course_name,required,major_name
Applied Mathematics & Statistics,1,BS,MATH,111,Calculus I,1,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,MATH,112,Calculus II,1,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,MATH,211,Multivariable Calculus,1,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,MATH,212,Differential Equations,1,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,MATH,221,Linear Algebra,1,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,MATH,250,Foundations of Mathematics,1,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,MATH,315,Numerical Analysis,1,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,MATH,361,Mathematical Statistics I,1,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,MATH,362,Mathematical Statistics II,1,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,QTM,110,Introduction to Scientific Methods,1,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,QTM,150,Intro to Statistical Computing I,1,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,QTM,151,Intro to Statistical Computing II,1,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,QTM,220,Regression Analysis,1,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,CS,170,Intro to Computer Science I,1,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,MATH,318,Complex Variables,0,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,MATH,321,Abstract Vector Spaces,0,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,MATH,328,Number Theory,0,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,MATH,330,Intro to Combinatorics,0,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,MATH,344,Differential Geometry,0,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,MATH,345,Mathematical Modeling,0,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,MATH,346,Linear Optimization,0,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,MATH,347,Non-Linear Optimization,0,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,MATH,351,Partial Differential Equations,0,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,MATH,411,Real Analysis I,0,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,MATH,412,Real Analysis II,0,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,MATH,421,Abstract Algebra I,0,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,MATH,422,Abstract Algebra II,0,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,MATH,425,Mathematical Economics,0,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,QTM,302,Technical Writing,0,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,QTM,315,Game Theory I,0,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,QTM,329,Computational Linguistics,0,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,QTM,345,Advanced Statistics,0,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,QTM,350,Data Science Computing,0,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,QTM,355,Introduction to Time Series Analysis,0,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,QTM,360,Generalized Linear Models,0,BS in Applied Mathematics & Statistics
Applied Mathematics & Statistics,1,BS,QTM,446,BigSmall Data and Visualization,0,BS in Applied Mathematics & Statistics
Mathematics,1,BS,MATH,111,Calculus I,1,BS in Mathematics
Mathematics,1,BS,MATH,112,Calculus II,1,BS in Mathematics
Mathematics,1,BS,MATH,211,Multivariable Calculus,1,BS in Mathematics
Mathematics,1,BS,MATH,250,Foundations of Mathematics,1,BS in Mathematics
Mathematics,1,BS,MATH,318,Complex Variables,1,BS in Mathematics
Mathematics,1,BS,MATH,321,Vector Spaces,1,BS in Mathematics
Mathematics,1,BS,MATH,411,Real Analysis I,1,BS in Mathematics
Mathematics,1,BS,MATH,412,Real Analysis II,1,BS in Mathematics
Mathematics,1,BS,MATH,421,Abstract Algebra I,1,BS in Mathematics
Mathematics,1,BS,MATH,422,Abstract Algebra II,1,BS in Mathematics
Mathematics,1,BS,CS,170,Introduction to Computer Science I,1,BS in Mathematics
Mathematics,1,BS,PHYS,151,Physics for Scientists and Engineers I,1,BS in Mathematics
Mathematics,1,BS,PHYS,152,Physics for Scientists and Engineers II,1,BS in Mathematics
Mathematics,1,BS,MATH,328,Number Theory,0,BS in Mathematics
Mathematics,1,BS,MATH,330,Intro to Combinatorics,0,BS in Mathematics
Mathematics,1,BS,MATH,344,Differential Geometry,0,BS in Mathematics
Mathematics,1,BS,MATH,345,Mathematical Modeling,0,BS in Mathematics
Mathematics,1,BS,MATH,346,Linear Optimization,0,BS in Mathematics
Mathematics,1,BS,MATH,347,Non-Linear Optimization,0,BS in Mathematics
Mathematics,1,BS,MATH,351,Partial Differential Equations,0,BS in Mathematics
Mathematics,1,BS,MATH,425,Mathematical Economics,0,BS in Mathematics
Mathematics,1,BS,MATH,315,Numerical Analysis,0,BS in Mathematics
Mathematics,1,BS,MATH,361,Mathematical Statistics I,0,BS in Mathematics
Mathematics,1,BS,MATH,362,Mathematical Statistics II,0,BS in Mathematics
Mathematics,1,BA,MATH,111,Calculus I,1,BA in Mathematics
Mathematics,1,BA,MATH,112,Calculus II,1,BA in Mathematics
Mathematics,1,BA,MATH,211,Multivariable Calculus,1,BA in Mathematics
Mathematics,1,BA,MATH,221,Linear Algebra,1,BA in Mathematics
Mathematics,1,BA,MATH,250,Foundations of Mathematics,1,BA in Mathematics
Mathematics,1,BA,CS,170,Introduction to Computer Science I,1,BA in Mathematics
Mathematics,1,BA,MATH,315,Numerical Analysis,0,BA in Mathematics
Mathematics,1,BA,MATH,361,Mathematical Statistics I,0,BA in Mathematics
Mathematics,1,BA,MATH,362,Mathematical Statistics II,0,BA in Mathematics
Mathematics,1,BA,MATH,318,Complex Variables,0,BA in Mathematics
Mathematics,1,BA,MATH,321,Abstract Vector Spaces,0,BA in Mathematics
Mathematics,1,BA,MATH,328,Number Theory,0,BA in Mathematics
Mathematics,1,BA,MATH,330,Intro to Combinatorics,0,BA in Mathematics
Mathematics,1,BA,MATH,344,Differential Geometry,0,BA in Mathematics
