Title2,Title_URL,Number,Number1,Number2,cardschool__departmentsc19lmz2k0,cardschool__schoolsc19lmz2k1,cardfeedback__cardfeedbackitemlq6nix1,cardfeedback__cardfeedbackitemlq6nix13,cardfeedback__cardfeedbackitemlq6nix14,cardfeedback__cardfeedbackitemlq6nix15,Field
William Size,https://www.ratemyprofessors.com/professor/6012,QUALITY,4.9,7 ratings,Geography,Emory University,"100%
would take again",100%,"2.1
level of difficulty",2.1,4.9
Scott Stewart,https://www.ratemyprofessors.com/professor/7918,QUALITY,4.9,10 ratings,Music,Emory University,"N/A
would take again",N/A,"2.2
level of difficulty",2.2,4.9
Alice Benston,https://www.ratemyprofessors.com/professor/25197,QUALITY,4.3,6 ratings,Fine Arts,Emory University,"N/A
would take again",N/A,"4.5
level of difficulty",4.5,4.3
Richard Patterson,https://www.ratemyprofessors.com/professor/55083,QUALITY,,16 ratings,Philosophy,Emory University,"N/A
would take again",N/A,"2.6
level of difficulty",2.6,3.8
George Armelagos,https://www.ratemyprofessors.com/professor/55087,QUALITY,,8 ratings,Anthropology,Emory University,"N/A
would take again",N/A,"2.6
level of difficulty",2.6,3.7
Daniel Adame,https://www.ratemyprofessors.com/professor/74368,QUALITY,,28 ratings,Physical Ed,Emory University,"N/A
would take again",N/A,"1.4
level of difficulty",1.4,3.3
Kenneth Stein,https://www.ratemyprofessors.com/professor/74370,QUALITY,4.4,23 ratings,Political Science,Emory University,"100%
would take again",100%,"3
level of difficulty",3,4.4
David Cook,https://www.ratemyprofessors.com/professor/90720,QUALITY,4,8 ratings,Film,Emory University,"N/A
would take again",N/A,"2.1
level of difficulty",2.1,4
James Roark,https://www.ratemyprofessors.com/professor/111495,QUALITY,5,14 ratings,History,Emory University,"N/A
would take again",N/A,"3
level of difficulty",3,5
Frasier Harbutt,https://www.ratemyprofessors.com/professor/111498,QUALITY,4.1,14 ratings,History,Emory University,"N/A
would take again",N/A,"2.8
level of difficulty",2.8,4.1
John Juricek,https://www.ratemyprofessors.com/professor/111499,QUALITY,,3 ratings,History,Emory University,"N/A
would take again",N/A,"2
level of difficulty",2,3.7
Rachel Bowser,https://www.ratemyprofessors.com/professor/116726,QUALITY,4.9,4 ratings,English,Emory University,"N/A
would take again",N/A,"3.3
level of difficulty",3.3,4.9
Randall Strahan,https://www.ratemyprofessors.com/professor/135031,QUALITY,5,2 ratings,Political Science,Emory University,"N/A
would take again",N/A,"3.5
level of difficulty",3.5,5
Karl Hagen,https://www.ratemyprofessors.com/professor/154176,QUALITY,,58 ratings,Chemistry,Emory University,"21%
would take again",21%,"3.3
level of difficulty",3.3,2.1
